"freq
References : ['real(S(1,1))','imag(S(1,1))','real(SP1.SP.S(1,2))','imag(SP1.SP.S(1,2))','real(SP1.SP.S(2,1))','imag(SP1.SP.S(2,1))','real(SP1.SP.S(2,2))','imag(SP1.SP.S(2,2))']
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(S(1,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(1,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,1))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","real(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real","imag(SP1.SP.S(2,2))
References : []
Dependency : [freq]
Num. Points : [600]
Matrix Size : scalar
Type : Real"
1.000E7Hz,-8.425E-1,-7.324E-3,1.710E-2,3.965E-4,-8.998E0,1.640E0,-5.370E-1,-6.219E-2
2.000E7Hz,-8.566E-1,-1.019E-2,1.758E-2,-8.215E-4,-8.007E0,2.572E0,-5.904E-1,-1.074E-1
3.000E7Hz,-8.601E-1,-5.005E-3,1.789E-2,5.289E-4,-6.908E0,2.886E0,-6.349E-1,-1.192E-1
4.000E7Hz,-8.680E-1,7.569E-3,1.820E-2,9.529E-6,-6.134E0,2.890E0,-6.793E-1,-1.121E-1
5.000E7Hz,-8.726E-1,9.826E-3,1.748E-2,-7.673E-4,-5.578E0,2.718E0,-7.055E-1,-1.112E-1
6.000E7Hz,-8.758E-1,1.926E-2,1.760E-2,-4.193E-4,-5.111E0,2.551E0,-7.216E-1,-9.564E-2
7.000E7Hz,-8.742E-1,3.516E-2,1.807E-2,-1.074E-3,-4.822E0,2.361E0,-7.372E-1,-7.779E-2
8.000E7Hz,-8.680E-1,4.196E-2,1.831E-2,-1.785E-3,-4.567E0,2.198E0,-7.482E-1,-6.867E-2
9.000E7Hz,-8.654E-1,5.279E-2,1.751E-2,-2.569E-3,-4.400E0,2.037E0,-7.575E-1,-5.249E-2
1.000E8Hz,-8.629E-1,5.737E-2,1.725E-2,-2.929E-3,-4.273E0,1.909E0,-7.620E-1,-5.050E-2
1.100E8Hz,-8.549E-1,6.452E-2,1.697E-2,-2.781E-3,-4.167E0,1.763E0,-7.648E-1,-3.854E-2
1.200E8Hz,-8.526E-1,7.007E-2,1.700E-2,-3.196E-3,-4.064E0,1.659E0,-7.653E-1,-2.948E-2
1.300E8Hz,-8.485E-1,8.233E-2,1.684E-2,-3.957E-3,-3.997E0,1.591E0,-7.779E-1,-1.663E-2
1.400E8Hz,-8.354E-1,9.320E-2,1.652E-2,-4.425E-3,-3.908E0,1.490E0,-7.773E-1,-7.141E-3
1.500E8Hz,-8.312E-1,1.012E-1,1.607E-2,-4.556E-3,-3.876E0,1.378E0,-7.828E-1,-1.068E-3
1.600E8Hz,-8.158E-1,1.078E-1,1.561E-2,-5.029E-3,-3.814E0,1.287E0,-7.831E-1,8.820E-3
1.700E8Hz,-8.012E-1,1.157E-1,1.481E-2,-5.775E-3,-3.772E0,1.175E0,-7.833E-1,2.121E-2
1.800E8Hz,-7.901E-1,1.165E-1,1.439E-2,-6.015E-3,-3.779E0,1.050E0,-7.865E-1,2.747E-2
1.900E8Hz,-7.738E-1,1.123E-1,1.293E-2,-5.861E-3,-3.762E0,9.263E-1,-7.897E-1,4.077E-2
2.000E8Hz,-7.575E-1,1.131E-1,1.229E-2,-6.282E-3,-3.788E0,7.869E-1,-7.930E-1,4.907E-2
2.100E8Hz,-7.329E-1,1.116E-1,1.110E-2,-6.573E-3,-3.817E0,6.566E-1,-7.824E-1,6.442E-2
2.200E8Hz,-7.117E-1,1.076E-1,9.843E-3,-6.138E-3,-3.896E0,5.410E-1,-7.809E-1,8.224E-2
2.300E8Hz,-6.915E-1,8.563E-2,8.340E-3,-5.517E-3,-4.042E0,3.950E-1,-7.789E-1,8.758E-2
2.400E8Hz,-6.790E-1,6.414E-2,6.912E-3,-4.411E-3,-4.262E0,3.088E-1,-7.759E-1,1.047E-1
2.500E8Hz,-6.591E-1,3.723E-2,6.240E-3,-3.172E-3,-4.442E0,2.593E-1,-7.571E-1,1.105E-1
2.600E8Hz,-6.606E-1,-1.833E-4,5.565E-3,-1.635E-3,-4.678E0,2.834E-1,-7.464E-1,1.201E-1
2.700E8Hz,-6.632E-1,-3.003E-2,5.093E-3,2.589E-4,-4.906E0,3.594E-1,-7.312E-1,1.235E-1
2.800E8Hz,-6.798E-1,-5.786E-2,5.009E-3,2.272E-3,-5.126E0,5.032E-1,-7.198E-1,1.262E-1
